Sample,Species,Location,Date,Fish #,TL
PHB #1 - 24.10.17 - Formalin - 6 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L5,3.734
PHB #1 - 24.10.17 - Formalin - 6 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L6,4.823
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L1,4.06
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L2,4.044
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L3,4.18
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L4,3.71
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L5,2.881
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L6,3.077
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L7,3.867
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L8,4.49
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L9,3.861
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L10,3.618
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L11,4.463
PHB #1 - 24.10.17 - Formalin - 12 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L12,2.588
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L1,2.223
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L2,1.973
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L3,2.552
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L4,3.088
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L5,2.317
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L6,2.444
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L7,3.961
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L8,3.057
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L9,3.42
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L10,1.947
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L11,2.821
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L12,3.211
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L13,3.337
PHB #1 - 24.10.17 - Formalin - 14 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,24/10/2017,L14,3.089
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L1,3.236
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L2,2.74
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L3,4.196
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L4,4.065
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L5,4.372
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L6,3.407
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L7,3.477
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L8,4.294
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L9,4.185
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L10,3.704
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L11,3.349
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L12,1.93
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L13,3.57
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis,P. grandispinis,Port Hacking,24/10/2017,L14,3.357
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L1,3.398
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L2,3.799
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L3,3.745
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L4,1.683
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L5,3.042
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L6,3.364
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L7,3.262
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L8,4.199
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L9,3.388
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L10,2.966
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L11,3.545
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L12,3.861
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L13,5.715
PHB #1 - 24.10.17 - Formalin - 14 P. grandispinis 2,P. grandispinis,Port Hacking,24/10/2017,L14,4.392
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L1,1.592
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L2,1.71
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L3,2.048
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L4,2.269
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L5,1.487
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L6,2.068
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L7,1.472
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L8,1.83
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L9,1.965
PHB 100A - 1.3.16 - 10 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L10,2.256
PHB 100A - 1.3.16 - 1 P. caeruleopunctatus 2,P. caeruleopunctatus ,Port Hacking,1/03/2016,L1,1.926
PHB 100A - 1.3.16 - 1 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,1/03/2016,L1,1.676
PHB 100A - 1.3.16 - 2 Ratabulus spp,Ratabulus spp.,Port Hacking,1/03/2016,L1,4.306
PHB 100A - 1.3.16 - 2 Ratabulus spp,Ratabulus spp.,Port Hacking,1/03/2016,L2,3.369
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L1,2.971
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L2,4.259
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L3,3.649
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L4,2.705
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L5,3.847
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L6,4.002
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L7,4.41
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L8,3.706
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L9,4.162
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L10,3.489
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L11,3.686
PHB 100A - 1.3.16 - 12 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L12,4.001
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L1,3.071
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L2,2.468
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L3,3.113
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L4,3.866
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L5,4.033
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L6,4.181
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L7,4.781
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L8,4.519
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L9,3.399
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L10,4.362
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L11,3.157
PHB 100A - 1.3.16 - 12 P. grandispinis 3,P. grandispinis,Port Hacking,1/03/2016,L12,3.501
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L1,4.071
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L2,4.668
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L3,3.907
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L4,3.1
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L5,2.635
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L6,3.116
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L7,4.68
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L8,2.824
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L9,2.435
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L10,2.689
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L11,4.181
PHB 100A - 1.3.16 - 12 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L12,3.139
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L1,4.902
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L2,3.663
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L3,5.279
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L4,4.417
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L5,2.078
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L6,4.539
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L7,3.548
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L8,3.63
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L9,2.625
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L10,3.486
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L11,4.701
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L12,4.067
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L13,3.819
PHB 100A - 1.3.16 - 14 P. grandispinis,P. grandispinis,Port Hacking,1/03/2016,L14,3.325
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L1,4.784
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L2,3.391
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L3,3.378
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L4,3.07
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L5,1.787
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L6,3.192
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L7,4.438
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L8,3.865
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L9,3.172
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L10,5.03
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L11,3.007
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L12,3.322
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L13,2.037
PHB 100A - 1.3.16 - 14 P. grandispinis 2,P. grandispinis,Port Hacking,1/03/2016,L14,2.295
PHB 100A - 1.3.16 - Additional P. fuscus,P. fuscus,Port Hacking,1/03/2016,L1,2.116
PHB 100A - 1.3.16 - Additional P. fuscus,P. fuscus,Port Hacking,1/03/2016,L2,1.196
PHB 100A - 1.3.16 - P. fuscus,P. fuscus,Port Hacking,1/03/2016,L1,2.541
PHB 100A - 8.4.16 - 2 Ratabulus spp,Ratabulus spp.,Port Hacking,8/04/2016,L1,8.173
PHB 100A - 30.8.16 - 6 P. grandispinis,P. grandispinis,Port Hacking,30/08/2016,L1,2.642
PHB 100A - 30.8.16 - 6 P. grandispinis,P. grandispinis,Port Hacking,30/08/2016,L2,3.364
PHB 100A - 30.8.16 - 6 P. grandispinis,P. grandispinis,Port Hacking,30/08/2016,L3,6.086
PHB 100A - 30.8.16 - 6 P. grandispinis,P. grandispinis,Port Hacking,30/08/2016,L4,5.472
PHB 100A - 30.8.16 - 6 P. grandispinis,P. grandispinis,Port Hacking,30/08/2016,L5,6.776
PHB 100A - 30.8.16 - 6 P. grandispinis,P. grandispinis,Port Hacking,30/08/2016,L6,6.882
PHB 100A - 30.8.16 P. richardsoni,P. richardsoni,Port Hacking,30/08/2016,L1,2.749
PHB A - 31.10.16 - UTC - 2 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,31/10/2016,L1,8.105
PHB A - 31.10.16 - UTC - 2 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,31/10/2016,L2,3.413
PHB A - 31.10.16 - UTC - P. grandispinis,P. grandispinis,Port Hacking,31/10/2016,L1,5.242
PHB Ph100 N. 1 - 16.11.15 - 1 P. grandispinis,P. grandispinis,Port Hacking,16/11/2015,L1,2.679
PHB Ph100 N. 1 - 16.11.15 - 2 P. grandispinis,P. grandispinis,Port Hacking,16/11/2015,L1,3.06
PHB Ph100 N. 1 - 16.11.15 - 2 P. grandispinis,P. grandispinis,Port Hacking,16/11/2015,L2,5.46
PHB Ph100 N. 1 - 16.11.15 - 3 P. grandispinis,P. grandispinis,Port Hacking,16/11/2015,L1,3.874
PHB Ph100 N. 1 - 16.11.15 - 3 P. grandispinis,P. grandispinis,Port Hacking,16/11/2015,L2,3.263
PHB Ph100 N. 1 - 16.11.15 - 3 P. grandispinis,P. grandispinis,Port Hacking,16/11/2015,L3,4.013
PHB20140911A - 2 P. grandispinis and 1 P. fuscus,P. grandispinis,Port Hacking,11/09/2014,L1,8.697
PHB20140911A - 2 P. grandispinis and 1 P. fuscus,P. grandispinis,Port Hacking,11/09/2014,L2,11.453
PHB20140911A - 2 P. grandispinis and 1 P. fuscus,P. fuscus,Port Hacking,11/09/2014,L3,7.472
PHB20141021A - 4 P. grandispinis,P. grandispinis,Port Hacking,21/10/2014,L1,7.079
PHB20141021A - 4 P. grandispinis,P. grandispinis,Port Hacking,21/10/2014,L2,5.76
PHB20141021A - 4 P. grandispinis,P. grandispinis,Port Hacking,21/10/2014,L3,2.667
PHB20141021A - 4 P. grandispinis,P. grandispinis,Port Hacking,21/10/2014,L4,4.827
PHB20141021B - 5 P. grandispinis and 1 P. caeruleopunctatus ,P. grandispinis,Port Hacking,21/10/2014,L1,3.099
PHB20141021B - 5 P. grandispinis and 1 P. caeruleopunctatus ,P. grandispinis,Port Hacking,21/10/2014,L2,2.53
PHB20141021B - 5 P. grandispinis and 1 P. caeruleopunctatus ,P. grandispinis,Port Hacking,21/10/2014,L3,6.175
PHB20141021B - 5 P. grandispinis and 1 P. caeruleopunctatus ,P. grandispinis,Port Hacking,21/10/2014,L4,7.143
PHB20141021B - 5 P. grandispinis and 1 P. caeruleopunctatus ,P. grandispinis,Port Hacking,21/10/2014,L5,13.562
PHB20141021B - 5 P. grandispinis and 1 P. caeruleopunctatus ,P. caeruleopunctatus ,Port Hacking,21/10/2014,L6,4.123
NSI 30 5 2018 60 1 x P endrachthensis,P. endrachtensis,North Stradbroke,30/05/2018,L1,2.389
NSI 13 9 2018 30 2 x P. endrachtensis ,P. endrachtensis,North Stradbroke,13/09/2018,L1,5.313
NSI 13 9 2018 30 2 x P. endrachtensis ,P. endrachtensis,North Stradbroke,13/09/2018,L2,2.626
NSI 13 9 2018 30 3 x A. jugosa,A. jugosa,North Stradbroke,13/09/2018,L1,2.12
NSI 13 9 2018 30 3 x A. jugosa,A. jugosa,North Stradbroke,13/09/2018,L2,3
NSI 13 9 2018 30 3 x A. jugosa,A. jugosa,North Stradbroke,13/09/2018,L3,2.157
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L1,4.134
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L2,2.569
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L3,1.948
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L4,2.142
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L5,3.316
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L6,1.843
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L7,2.259
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L8,2.706
NSI 13 9 2018 30 9 x P. grandispinis,P. grandispinis,North Stradbroke,13/09/2018,L9,2.456
NSI 13 9 2018 60 1 x a jugosa,A. jugosa,North Stradbroke,13/09/2018,L1,2.277
NSI 17 1 2017 30 1 x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L1,4.667
NSI 17 1 2017 60 1 x P endrachthenisis ,P. endrachtensis,North Stradbroke,17/01/2017,L1,4.889
NSI 17 1 2017 60 2 x S. tuberculatus ,S. tuberculata,North Stradbroke,17/01/2017,L1,5.08
NSI 17 1 2017 60 2 x S. tuberculatus ,S. tuberculata,North Stradbroke,17/01/2017,L2,6.268
NSI 17 1 2017 60 6 x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L1,5.315
NSI 17 1 2017 60 6 x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L2,4.115
NSI 17 1 2017 60 6 x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L3,4.858
NSI 17 1 2017 60 6 x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L4,5.718
NSI 17 1 2017 60 6 x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L5,3.645
NSI 17 1 2017 60 6 x A. jugosa,A. jugosa,North Stradbroke,17/01/2017,L6,4.611
NSI 17 1 2017 60 6 x A. jugosa0001,A. jugosa,North Stradbroke,17/01/2017,L1,8.527
NSI 17 1 2017 60 6 x A. jugosa0001,A. jugosa,North Stradbroke,17/01/2017,L2,8.367
NSI 17 1 2017 60 6 x A. jugosa0001,A. jugosa,North Stradbroke,17/01/2017,L3,4.788
NSI 17 1 2017 60 6 x A. jugosa0001,A. jugosa,North Stradbroke,17/01/2017,L4,5.088
NSI 17 1 2017 60 6 x A. jugosa0001,A. jugosa,North Stradbroke,17/01/2017,L5,4.748
NSI 17 1 2017 60 6 x A. jugosa0001,A. jugosa,North Stradbroke,17/01/2017,L6,4.269
NSI 17 2 2017 30 1 x S.tuberculata ,S. tuberculata,North Stradbroke,17/02/2017,L1,6.889
NSI 17 2 2017 30 5 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L1,7.342
NSI 17 2 2017 30 5 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L2,7.251
NSI 17 2 2017 30 5 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L3,5.251
NSI 17 2 2017 30 5 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L4,5.674
NSI 17 2 2017 30 5 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L5,7.686
NSI 17 2 2017 30 8 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L1,4.68
NSI 17 2 2017 30 8 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L2,5.146
NSI 17 2 2017 30 8 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L3,3.056
NSI 17 2 2017 30 8 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L4,3.663
NSI 17 2 2017 30 8 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L5,4.392
NSI 17 2 2017 30 8 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L6,5.091
NSI 17 2 2017 30 8 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L7,4.515
NSI 17 2 2017 30 8 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L8,3.659
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L1,5.003
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L2,3.61
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L3,2.879
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L4,4.851
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L5,3.687
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L6,2.2
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L7,3.87
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L8,3.003
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L9,3.672
NSI 17 2 2017 30 10 x A. jugosa,A. jugosa,North Stradbroke,17/02/2017,L10,3.602
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L1,3.399
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L2,3.58
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L3,3.914
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L4,4.277
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L5,4.089
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L6,3.162
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L7,3.084
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L8,3.662
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L9,3.445
NSI 17 2 2017 30 10 x A. jugosa0001,A. jugosa,North Stradbroke,17/02/2017,L10,4.122
NSI 17 4 2018 30 A 7x A jugosa,A. jugosa,North Stradbroke,17/04/2018,L1,3.379
NSI 17 4 2018 30 A 7x A jugosa,A. jugosa,North Stradbroke,17/04/2018,L2,2.058
NSI 17 4 2018 30 A 7x A jugosa,A. jugosa,North Stradbroke,17/04/2018,L3,3.169
NSI 17 4 2018 30 A 7x A jugosa,A. jugosa,North Stradbroke,17/04/2018,L4,3.092
NSI 17 4 2018 30 A 7x A jugosa,A. jugosa,North Stradbroke,17/04/2018,L5,3.134
NSI 17 4 2018 30 A 7x A jugosa,A. jugosa,North Stradbroke,17/04/2018,L6,3.293
NSI 17 4 2018 30 A 7x A jugosa,A. jugosa,North Stradbroke,17/04/2018,L7,2.981
NSI 17 4 2018 30 A 8 xA jugosa,A. jugosa,North Stradbroke,17/04/2018,L1,3.155
NSI 17 4 2018 30 A 8 xA jugosa,A. jugosa,North Stradbroke,17/04/2018,L2,3.19
NSI 17 4 2018 30 A 8 xA jugosa,A. jugosa,North Stradbroke,17/04/2018,L3,3.864
